timestamp,ear,closed_flag,status
1764001127.652863,0.0,0,AWAKE
1764001128.206744,0.44382042166525154,0,AWAKE
1764001128.3339882,0.452989844431424,0,AWAKE
1764001128.468989,0.44878932402538146,0,AWAKE
1764001128.611347,0.44249697690195583,0,AWAKE
1764001128.757648,0.4453186472760572,0,AWAKE
1764001128.887799,0.4428519270078589,0,AWAKE
1764001129.025223,0.44635757856764247,0,AWAKE
1764001129.155592,0.4556705415120206,0,AWAKE
1764001129.292778,0.4724516925058008,0,AWAKE
1764001129.4217799,0.47340062252589943,0,AWAKE
1764001129.55554,0.48463057537827686,0,AWAKE
1764001129.690021,0.4892574536592941,0,AWAKE
1764001129.826025,0.4830270725429736,0,AWAKE
1764001129.9559119,0.47875744460983755,0,AWAKE
1764001130.087905,0.4740733211408803,0,AWAKE
1764001130.223938,0.4672346174597937,0,AWAKE
1764001130.353316,0.4597317226363245,0,AWAKE
1764001130.487186,0.4582189404490252,0,AWAKE
1764001130.624508,0.451565469851141,0,AWAKE
1764001130.7542772,0.45444915836827693,0,AWAKE
1764001130.889121,0.4561175498895538,0,AWAKE
1764001131.021395,0.4528124883000615,0,AWAKE
1764001131.158014,0.4536624327162076,0,AWAKE
1764001131.2878468,0.459779568664023,0,AWAKE
1764001131.4209542,0.46320999268358953,0,AWAKE
1764001131.554604,0.4637828222570898,0,AWAKE
1764001131.688,0.4669794118259703,0,AWAKE
1764001131.822633,0.46655677804534523,0,AWAKE
1764001131.95501,0.46614231170545734,0,AWAKE
1764001132.090674,0.4639007101488229,0,AWAKE
1764001132.2207518,0.46550431473250153,0,AWAKE
1764001132.354086,0.4640931435615128,0,AWAKE
1764001132.4890409,0.468653479646327,0,AWAKE
1764001132.621055,0.4697230554906966,0,AWAKE
1764001132.75549,0.47363974104629686,0,AWAKE
1764001132.885874,0.4757223641114462,0,AWAKE
1764001133.0245252,0.474976782746417,0,AWAKE
1764001133.152815,0.4719646675791423,0,AWAKE
1764001133.287138,0.4613692621392856,0,AWAKE
1764001133.422255,0.44671473028433556,0,AWAKE
1764001133.553974,0.4217422443269558,0,AWAKE
1764001133.6879418,0.402132663180159,0,AWAKE
1764001133.8200269,0.39089573874525463,0,AWAKE
1764001133.95697,0.37934269471239923,0,AWAKE
1764001134.0872161,0.3756707701489213,0,AWAKE
1764001134.220683,0.37946403020071956,0,AWAKE
1764001134.354054,0.38510984020193284,0,AWAKE
1764001134.4854321,0.38257085114354844,0,AWAKE
1764001134.6226408,0.3834532960581833,0,AWAKE
1764001134.752993,0.3825798673995107,0,AWAKE
1764001134.890124,0.38594032412285495,0,AWAKE
1764001135.020391,0.38610498270607174,0,AWAKE
1764001135.153567,0.39059541302822887,0,AWAKE
1764001135.291927,0.39788333505157103,0,AWAKE
1764001135.42063,0.39619673082887535,0,AWAKE
1764001135.55485,0.39947764201784913,0,AWAKE
1764001135.6856651,0.40199619041724766,0,AWAKE
